InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Category,TotalRevenue
INV000042,SKU0475,StandardWidgetD,15,2010-12-02,35.32,15611,Australia,Sports,1058.29
INV000043,SKU0187,BudgetWidgetE,53,2010-12-02,62.55,16009,France,HomeGarden,1686.06
INV000044,SKU0463,PremiumWidgetA,38,2010-12-02,32.62,19487,Belgium,Electronics,4657.9
INV000045,SKU0270,BudgetWidgetE,48,2010-12-02,94.82,15263,UnitedKingdom,Sports,4869.9
INV000046,SKU0189,ProWidgetF,52,2010-12-02,32.08,18626,Netherlands,Food,1560.88
INV000047,SKU0445,ClassicWidgetB,88,2010-12-02,28.59,15570,Germany,Food,3222.87
INV000048,SKU0174,EliteWidgetG,72,2010-12-03,70.95,19107,Australia,Clothing,1207.24
INV000049,SKU0445,ClassicWidgetB,28,2010-12-03,133.36,14640,Belgium,Electronics,1843.27
INV000050,SKU0050,BasicWidgetH,85,2010-12-03,70.51,15333,UnitedKingdom,Clothing,3961.88
INV000051,SKU0363,EliteWidgetG,16,2010-12-03,62.37,18839,France,HomeGarden,2506.39
INV000052,SKU0054,EliteWidgetG,16,2010-12-03,86.93,12295,Spain,Sports,4248.1
INV000053,SKU0243,BasicWidgetH,35,2010-12-03,38.95,11431,Spain,Books,3144.07
INV000054,SKU0319,StandardWidgetD,17,2010-12-03,53.34,15172,Germany,Food,3144.98
INV000055,SKU0130,BasicWidgetH,73,2010-12-03,32.47,12361,France,HomeGarden,170.37
INV000056,SKU0484,DeluxeWidgetC,99,2010-12-03,85.99,17541,Netherlands,Toys,3748.6
INV000057,SKU0306,EliteWidgetG,52,2010-12-03,104.76,10723,Germany,HomeGarden,4889.35
INV000058,SKU0134,EliteWidgetG,93,2010-12-03,101.22,11547,UnitedKingdom,Books,2365.67
INV000059,SKU0020,BasicWidgetH,82,2010-12-03,38.6,19171,Spain,Books,793.74
INV000060,SKU0328,StandardWidgetD,12,2010-12-03,117.06,18275,Belgium,Toys,4884.91
INV000061,SKU0166,BudgetWidgetE,83,2010-12-03,38.77,11365,Australia,Toys,1451.34
INV000062,SKU0273,ProWidgetF,48,2010-12-03,22.97,18741,Australia,Electronics,2046.58
INV000063,SKU0387,PremiumWidgetA,22,2010-12-03,52.8,13853,Netherlands,Clothing,387.75
INV000064,SKU0088,StandardWidgetD,49,2010-12-03,89.86,14682,Australia,HomeGarden,555.07
INV000065,SKU0315,DeluxeWidgetC,52,2010-12-03,21.73,15960,Australia,Electronics,1083.61
INV000066,SKU0013,StandardWidgetD,79,2010-12-03,97.39,18343,Belgium,Toys,2742.78
INV000067,SKU0241,ClassicWidgetB,1,2010-12-03,129.53,17689,Netherlands,Electronics,2789.39
INV000068,SKU0264,BudgetWidgetE,66,2010-12-03,44.32,15157,Spain,HomeGarden,3031.61
INV000069,SKU0345,BudgetWidgetE,64,2010-12-03,67.81,13498,UnitedKingdom,Clothing,2919.5
INV000070,SKU0052,EliteWidgetG,8,2010-12-03,34.63,12985,Germany,Books,2476.69
INV000071,SKU0385,BudgetWidgetE,86,2010-12-03,54.51,11567,Spain,HomeGarden,4010.69
INV000072,SKU0339,BudgetWidgetE,25,2010-12-04,3.78,18403,Germany,Clothing,4669.56
INV000073,SKU0091,BasicWidgetH,66,2010-12-04,143.09,16669,Netherlands,Books,1349.54
INV000074,SKU0366,BudgetWidgetE,73,2010-12-04,62.68,14191,Spain,Food,651.84
INV000075,SKU0443,BudgetWidgetE,73,2010-12-04,118.44,19718,France,Food,2126.01
INV000076,SKU0454,PremiumWidgetA,77,2010-12-04,21.83,17156,Netherlands,Food,133.09
INV000077,SKU0427,DeluxeWidgetC,70,2010-12-04,121.95,18713,Netherlands,Sports,4416.71
INV000078,SKU0263,EliteWidgetG,94,2010-12-04,129.09,16517,Netherlands,HomeGarden,1199.29
INV000079,SKU0430,BasicWidgetH,79,2010-12-04,107.46,15135,Netherlands,Food,2746.93
INV000080,SKU0034,BudgetWidgetE,51,2010-12-04,135.53,19894,Australia,Toys,576.36
INV000081,SKU0205,EliteWidgetG,53,2010-12-04,25.5,16751,Australia,HomeGarden,2766.73
INV000082,SKU0080,DeluxeWidgetC,15,2010-12-04,71.73,18209,Spain,Toys,195.93
INV000083,SKU0419,BasicWidgetH,50,2010-12-04,93.21,17174,UnitedKingdom,Clothing,3844.26
INV000084,SKU0049,ProWidgetF,71,2010-12-04,89.63,11719,Netherlands,Electronics,4777.15
INV000085,SKU0359,BudgetWidgetE,75,2010-12-04,129.23,18061,Germany,Electronics,1535.57
INV000086,SKU0387,EliteWidgetG,38,2010-12-04,32.75,14014,France,Clothing,1291.81
INV000087,SKU0001,StandardWidgetD,40,2010-12-04,26.76,10878,Australia,HomeGarden,2240.53
INV000088,SKU0389,BasicWidgetH,66,2010-12-04,38.38,18785,Germany,HomeGarden,3100.25
INV000089,SKU0053,BasicWidgetH,39,2010-12-04,133.79,16272,Australia,Toys,945.62
INV000090,SKU0105,EliteWidgetG,74,2010-12-04,141.18,11609,Spain,HomeGarden,4016.74
INV000091,SKU0259,BudgetWidgetE,17,2010-12-04,85.66,19067,UnitedKingdom,Sports,993.48
INV000092,SKU0309,ClassicWidgetB,7,2010-12-04,75.46,16714,France,Toys,28.37
INV000093,SKU0476,PremiumWidgetA,39,2010-12-04,91.01,15109,Australia,Electronics,2621.73
INV000094,SKU0190,StandardWidgetD,68,2010-12-04,92.64,12448,France,Food,576.63
INV000095,SKU0401,StandardWidgetD,35,2010-12-04,25.96,12136,France,Sports,3491.5
INV000096,SKU0217,ClassicWidgetB,51,2010-12-05,103.12,16966,Spain,HomeGarden,838.18
INV000097,SKU0043,BudgetWidgetE,47,2010-12-05,68.13,12053,Germany,Food,4087.08
INV000098,SKU0161,BasicWidgetH,36,2010-12-05,77.85,17763,Australia,Electronics,2352.37
INV000099,SKU0201,BasicWidgetH,64,2010-12-05,5.03,10083,France,Food,2831.82
INV000100,SKU0445,PremiumWidgetA,95,2010-12-05,114.8,19631,Spain,Toys,933.74
INV000101,SKU0483,StandardWidgetD,89,2010-12-05,125.4,12668,Netherlands,HomeGarden,734.29
INV000102,SKU0269,PremiumWidgetA,13,2010-12-05,93.1,15231,Belgium,Toys,3156.83
INV000103,SKU0350,StandardWidgetD,18,2010-12-05,112.43,18890,France,HomeGarden,1278.05
INV000104,SKU0303,BudgetWidgetE,21,2010-12-05,78.64,11820,France,Clothing,1930.24
INV000105,SKU0270,ProWidgetF,65,2010-12-05,92.94,14414,Australia,Electronics,2397.77
INV000106,SKU0455,StandardWidgetD,8,2010-12-05,59.49,17249,Belgium,HomeGarden,1148.94
INV000107,SKU0461,ProWidgetF,48,2010-12-05,118.89,19290,Netherlands,Books,3977.32
INV000108,SKU0214,StandardWidgetD,85,2010-12-05,70.51,16572,France,Books,4697.18
INV000109,SKU0251,BasicWidgetH,43,2010-12-05,102.19,17627,Australia,Food,2160.03
INV000110,SKU0189,DeluxeWidgetC,53,2010-12-05,93.4,12894,Australia,Food,4587.82
INV000111,SKU0295,BudgetWidgetE,85,2010-12-05,105.5,13417,Spain,Toys,4413.53
INV000112,SKU0212,ClassicWidgetB,27,2010-12-05,117.89,10248,Belgium,HomeGarden,831.07
INV000113,SKU0207,ProWidgetF,19,2010-12-05,77.15,17810,France,Food,867.74
INV000114,SKU0236,ClassicWidgetB,23,2010-12-05,122.05,11890,UnitedKingdom,Clothing,2387.55
INV000115,SKU0337,BudgetWidgetE,50,2010-12-05,74.84,17880,UnitedKingdom,Toys,2629.76
INV000116,SKU0366,EliteWidgetG,51,2010-12-05,143.52,12115,Germany,HomeGarden,1706.31
INV000117,SKU0052,ClassicWidgetB,43,2010-12-05,113.02,16581,UnitedKingdom,Food,1565.29
INV000118,SKU0279,BudgetWidgetE,99,2010-12-05,26.09,13063,UnitedKingdom,Food,2157.41
INV000119,SKU0409,BasicWidgetH,51,2010-12-05,124.52,15651,Australia,Books,3452.71
INV000120,SKU0216,ClassicWidgetB,69,2010-12-06,82.96,11806,Australia,Electronics,422.88
INV000121,SKU0251,ProWidgetF,41,2010-12-06,147.68,17300,Spain,Food,3553.2
INV000122,SKU0187,DeluxeWidgetC,72,2010-12-06,107.96,18487,Belgium,Clothing,4631.28
INV000123,SKU0379,ClassicWidgetB,11,2010-12-06,13.12,12694,France,HomeGarden,3817.77
INV000124,SKU0492,ProWidgetF,80,2010-12-06,59.55,15493,Belgium,Food,959.19
INV000125,SKU0040,StandardWidgetD,88,2010-12-06,77.83,18223,Belgium,Books,438.32
INV000126,SKU0156,BudgetWidgetE,85,2010-12-06,125.93,14650,France,Food,2452.41
INV000127,SKU0014,PremiumWidgetA,52,2010-12-06,109.54,18126,Australia,Food,4782.07
INV000128,SKU0300,EliteWidgetG,23,2010-12-06,55.72,10792,France,Electronics,4095.48
INV000129,SKU0064,BasicWidgetH,49,2010-12-06,98.19,14191,Australia,Books,2814.11
INV000130,SKU0344,PremiumWidgetA,38,2010-12-06,86.75,11089,Belgium,Toys,715.76
INV000131,SKU0326,BasicWidgetH,47,2010-12-06,19.34,18421,Belgium,Clothing,3569.47
INV000132,SKU0008,BudgetWidgetE,72,2010-12-06,35.61,12780,UnitedKingdom,Toys,4065.18
INV000133,SKU0343,BasicWidgetH,7,2010-12-06,51.5,14497,France,Sports,4675.41
INV000134,SKU0128,DeluxeWidgetC,66,2010-12-06,29.72,10789,UnitedKingdom,HomeGarden,3060.97
INV000135,SKU0491,ClassicWidgetB,94,2010-12-06,22.95,14194,Germany,Toys,2572.81
INV000136,SKU0135,DeluxeWidgetC,77,2010-12-06,9.2,19990,Spain,Electronics,3096.29
INV000137,SKU0471,PremiumWidgetA,62,2010-12-06,131.03,14457,Spain,Clothing,4716.32
INV000138,SKU0062,EliteWidgetG,87,2010-12-06,43.7,16671,Belgium,Food,3141.01
INV000139,SKU0138,ProWidgetF,29,2010-12-06,43.9,14635,Belgium,Food,1288.7
INV000140,SKU0498,EliteWidgetG,38,2010-12-06,31.33,15961,France,Clothing,3181.12
INV000141,SKU0080,BudgetWidgetE,84,2010-12-06,71.57,16738,Belgium,Food,4398.84
INV000142,SKU0391,BudgetWidgetE,33,2010-12-06,77.38,15155,Australia,Food,2835.44
INV000143,SKU0162,DeluxeWidgetC,29,2010-12-06,31.64,10313,Spain,Sports,2513.99
INV000144,SKU0418,ProWidgetF,79,2010-12-07,91.48,16633,Australia,Sports,3667.11
INV000145,SKU0288,DeluxeWidgetC,23,2010-12-07,108.59,10232,Spain,HomeGarden,3305.28
INV000146,SKU0378,ClassicWidgetB,3,2010-12-07,56.39,15735,Germany,Toys,284.38
INV000147,SKU0260,StandardWidgetD,93,2010-12-07,88.03,19221,Australia,HomeGarden,3626.83
INV000148,SKU0489,ProWidgetF,45,2010-12-07,75.59,17849,UnitedKingdom,Toys,2038.34
INV000149,SKU0230,StandardWidgetD,8,2010-12-07,29.73,12711,Australia,Toys,4704.55
INV000150,SKU0040,EliteWidgetG,86,2010-12-07,109.64,17940,Germany,Food,4854.04
INV000151,SKU0027,ClassicWidgetB,29,2010-12-07,120.32,13344,Netherlands,Clothing,2244.25
INV000152,SKU0134,BasicWidgetH,2,2010-12-07,97.49,12122,Netherlands,Toys,4844.01
INV000153,SKU0200,BasicWidgetH,50,2010-12-07,48.92,13779,UnitedKingdom,HomeGarden,1554.79
INV000154,SKU0327,StandardWidgetD,65,2010-12-07,139.06,15654,Netherlands,HomeGarden,3413.54
INV000155,SKU0267,PremiumWidgetA,20,2010-12-07,68.58,19072,Belgium,Sports,376.2
INV000156,SKU0417,EliteWidgetG,52,2010-12-07,40.25,11172,Australia,Clothing,725.8
INV000157,SKU0032,StandardWidgetD,85,2010-12-07,61.53,17317,Germany,Books,4322.76
INV000158,SKU0047,ClassicWidgetB,37,2010-12-07,103.97,17744,Spain,Books,4469.03
INV000159,SKU0406,StandardWidgetD,72,2010-12-07,126.97,10159,UnitedKingdom,Electronics,2663.52
INV000160,SKU0061,BudgetWidgetE,27,2010-12-07,53.81,17963,Netherlands,Sports,1699.53
INV000161,SKU0215,DeluxeWidgetC,47,2010-12-07,35.28,12129,Australia,Electronics,2255.67
INV000162,SKU0292,PremiumWidgetA,99,2010-12-07,94.16,13078,Spain,Clothing,4348.25
INV000163,SKU0098,BudgetWidgetE,6,2010-12-07,138.22,12229,Spain,Food,1055.76
INV000164,SKU0171,BudgetWidgetE,60,2010-12-07,27.9,12917,Australia,Books,1475.06
INV000165,SKU0359,ClassicWidgetB,45,2010-12-07,120.55,13013,France,Food,3927.43
INV000166,SKU0213,DeluxeWidgetC,44,2010-12-07,71.75,19741,France,Books,4676.41
INV000167,SKU0474,DeluxeWidgetC,83,2010-12-07,120.03,16326,Belgium,Books,465.54
INV000168,SKU0034,ProWidgetF,18,2010-12-08,76.08,11579,Germany,Electronics,4019.06
INV000169,SKU0448,EliteWidgetG,65,2010-12-08,56.91,11960,Belgium,Food,3225.7
INV000170,SKU0226,PremiumWidgetA,25,2010-12-08,104.66,17902,Belgium,HomeGarden,1154.63
INV000171,SKU0100,EliteWidgetG,27,2010-12-08,135.14,16657,UnitedKingdom,Electronics,3779.33
INV000172,SKU0430,ClassicWidgetB,7,2010-12-08,48.38,13844,Netherlands,Food,3639.85
INV000173,SKU0461,PremiumWidgetA,44,2010-12-08,69.38,14697,Netherlands,Books,711.01
INV000174,SKU0130,ProWidgetF,29,2010-12-08,34.8,12390,Australia,Sports,2511.75
INV000175,SKU0256,StandardWidgetD,95,2010-12-08,27.92,11419,Netherlands,Sports,3791.7
INV000176,SKU0004,BudgetWidgetE,44,2010-12-08,116.79,13917,Belgium,Toys,958.53
INV000177,SKU0217,PremiumWidgetA,36,2010-12-08,30.5,14942,Germany,Food,2314.37
INV000178,SKU0254,EliteWidgetG,19,2010-12-08,119.1,18354,France,Electronics,604.58
INV000179,SKU0397,BudgetWidgetE,6,2010-12-08,64.67,18307,Australia,Toys,1534.87
INV000180,SKU0358,ClassicWidgetB,25,2010-12-08,149.26,17570,UnitedKingdom,Toys,1090.51
INV000181,SKU0282,EliteWidgetG,31,2010-12-08,30.0,15198,Australia,Electronics,2525.85
INV000182,SKU0392,StandardWidgetD,9,2010-12-08,14.4,19662,Belgium,Toys,706.94
INV000183,SKU0206,ClassicWidgetB,84,2010-12-08,11.78,16002,Netherlands,Clothing,1916.37
INV000184,SKU0014,BasicWidgetH,74,2010-12-08,125.39,15142,Germany,Electronics,1376.54
INV000185,SKU0345,StandardWidgetD,37,2010-12-08,65.95,13852,Belgium,Toys,3730.5
INV000186,SKU0041,StandardWidgetD,27,2010-12-08,0.97,10542,UnitedKingdom,Toys,3498.65
INV000187,SKU0379,BudgetWidgetE,13,2010-12-08,131.28,18605,Australia,Electronics,475.56
INV000188,SKU0460,ClassicWidgetB,41,2010-12-08,131.6,18873,Netherlands,Books,4767.47
INV000189,SKU0178,ClassicWidgetB,66,2010-12-08,121.06,18833,Australia,Toys,3723.67
INV000190,SKU0062,PremiumWidgetA,85,2010-12-08,37.62,13978,UnitedKingdom,HomeGarden,3080.18
INV000191,SKU0351,EliteWidgetG,97,2010-12-08,56.23,11432,Belgium,Books,2389.03
INV000192,SKU0230,BasicWidgetH,24,2010-12-09,111.87,18860,Netherlands,HomeGarden,890.43
INV000193,SKU0240,ClassicWidgetB,44,2010-12-09,73.66,17805,France,Books,4810.12
INV000194,SKU0051,PremiumWidgetA,98,2010-12-09,23.5,10968,Spain,Food,40.28
INV000195,SKU0095,BasicWidgetH,60,2010-12-09,36.8,15800,UnitedKingdom,Books,3462.71
INV000196,SKU0387,DeluxeWidgetC,9,2010-12-09,145.9,17845,France,Clothing,2537.71
INV000197,SKU0221,DeluxeWidgetC,2,2010-12-09,23.08,19372,France,Toys,4513.01
INV000198,SKU0484,BasicWidgetH,56,2010-12-09,109.05,15591,Netherlands,Food,1904.11
INV000199,SKU0406,DeluxeWidgetC,30,2010-12-09,71.96,15383,Australia,HomeGarden,2593.7
INV000200,SKU0230,ProWidgetF,22,2010-12-09,112.42,17470,Belgium,Books,3711.95
INV000201,SKU0236,ClassicWidgetB,75,2010-12-09,99.34,14819,Australia,Books,238.79
INV000202,SKU0142,ProWidgetF,81,2010-12-09,66.16,17632,Germany,HomeGarden,273.32
INV000203,SKU0170,EliteWidgetG,13,2010-12-09,53.41,13235,UnitedKingdom,Food,1059.15
INV000204,SKU0028,ClassicWidgetB,71,2010-12-09,113.28,15255,UnitedKingdom,Clothing,732.98
INV000205,SKU0035,PremiumWidgetA,16,2010-12-09,48.81,10251,Belgium,HomeGarden,33.21
INV000206,SKU0012,ProWidgetF,97,2010-12-09,118.27,14300,Netherlands,Clothing,3115.33
INV000207,SKU0159,ProWidgetF,45,2010-12-09,102.14,17409,Netherlands,Food,3979.89
INV000208,SKU0326,EliteWidgetG,65,2010-12-09,86.86,13998,Germany,Clothing,4785.62
INV000209,SKU0186,ProWidgetF,11,2010-12-09,55.64,18982,Germany,Sports,2205.06
INV000210,SKU0242,StandardWidgetD,70,2010-12-09,31.16,15180,France,Clothing,1399.32
INV000211,SKU0085,PremiumWidgetA,20,2010-12-09,106.71,15421,Spain,Sports,4319.65
INV000212,SKU0283,DeluxeWidgetC,99,2010-12-09,14.16,11495,Germany,Toys,4222.13
INV000213,SKU0065,PremiumWidgetA,63,2010-12-09,145.6,17978,Australia,Electronics,3124.59
INV000214,SKU0169,StandardWidgetD,90,2010-12-09,146.82,18141,France,Clothing,1366.47
INV000215,SKU0044,EliteWidgetG,12,2010-12-09,19.97,15378,Spain,HomeGarden,4542.68
INV000216,SKU0061,EliteWidgetG,62,2010-12-10,16.04,12577,Germany,Sports,892.83
INV000217,SKU0440,ClassicWidgetB,94,2010-12-10,62.2,15306,Spain,Food,219.19
INV000218,SKU0133,PremiumWidgetA,92,2010-12-10,144.57,18133,Australia,Food,3983.29
INV000219,SKU0283,BasicWidgetH,91,2010-12-10,60.35,11235,Australia,Electronics,2818.73
INV000220,SKU0027,BasicWidgetH,42,2010-12-10,54.89,11058,France,Toys,1233.09
INV000221,SKU0107,EliteWidgetG,83,2010-12-10,105.69,19362,France,Electronics,3354.81
INV000222,SKU0043,ProWidgetF,69,2010-12-10,27.22,13659,Australia,Clothing,3833.82
INV000223,SKU0339,EliteWidgetG,58,2010-12-10,54.82,15368,Netherlands,HomeGarden,4222.89
INV000224,SKU0285,EliteWidgetG,5,2010-12-10,44.05,10056,Belgium,Clothing,1411.35
INV000225,SKU0445,EliteWidgetG,27,2010-12-10,90.43,17472,France,Books,128.91
INV000226,SKU0330,EliteWidgetG,28,2010-12-10,24.83,12569,Belgium,Electronics,2550.68
INV000227,SKU0127,BasicWidgetH,26,2010-12-10,82.53,14080,UnitedKingdom,Books,4280.54
INV000228,SKU0347,BasicWidgetH,91,2010-12-10,128.7,16377,Netherlands,Books,1039.9
INV000229,SKU0472,DeluxeWidgetC,49,2010-12-10,77.37,11948,UnitedKingdom,Sports,2106.21
INV000230,SKU0230,DeluxeWidgetC,21,2010-12-10,102.68,10222,Spain,Food,1282.85
INV000231,SKU0189,ClassicWidgetB,1,2010-12-10,11.75,19831,Spain,Books,67.8
INV000232,SKU0224,EliteWidgetG,92,2010-12-10,67.63,15217,Spain,Electronics,4492.72
INV000233,SKU0384,BasicWidgetH,58,2010-12-10,14.69,19949,Germany,Electronics,676.13
INV000234,SKU0376,PremiumWidgetA,79,2010-12-10,90.12,19027,France,HomeGarden,3834.07
INV000235,SKU0282,StandardWidgetD,55,2010-12-10,42.52,12536,France,Clothing,1733.67
INV000236,SKU0445,ClassicWidgetB,81,2010-12-10,43.45,12525,Australia,HomeGarden,1389.13
INV000237,SKU0120,BasicWidgetH,26,2010-12-10,11.98,19176,Belgium,HomeGarden,4705.2
INV000238,SKU0115,PremiumWidgetA,84,2010-12-10,46.88,11357,France,Food,3286.34
INV000239,SKU0460,EliteWidgetG,25,2010-12-10,76.25,14887,Belgium,Clothing,3434.93
INV000240,SKU0232,BudgetWidgetE,77,2010-12-11,87.91,17722,Spain,Electronics,3798.5
INV000241,SKU0258,EliteWidgetG,33,2010-12-11,10.47,15982,UnitedKingdom,Sports,1705.33
INV000242,SKU0358,DeluxeWidgetC,89,2010-12-11,97.89,14477,Netherlands,Food,2818.76
INV000243,SKU0197,StandardWidgetD,72,2010-12-11,73.59,19638,Germany,Books,1351.85
INV000244,SKU0455,BasicWidgetH,69,2010-12-11,80.77,11371,Belgium,Sports,4172.87
INV000245,SKU0410,BasicWidgetH,6,2010-12-11,125.0,13224,Belgium,Books,2996.94
INV000246,SKU0136,ProWidgetF,23,2010-12-11,51.66,11874,Netherlands,Clothing,1217.79
INV000247,SKU0317,StandardWidgetD,30,2010-12-11,26.52,13361,UnitedKingdom,Clothing,4498.89
INV000248,SKU0164,ProWidgetF,78,2010-12-11,83.0,16104,Germany,HomeGarden,2904.62
INV000249,SKU0224,StandardWidgetD,54,2010-12-11,141.78,11142,Belgium,Toys,2475.66
INV000250,SKU0306,DeluxeWidgetC,87,2010-12-11,77.92,14309,Australia,Toys,173.4
INV000251,SKU0233,ProWidgetF,11,2010-12-11,124.87,18756,France,Clothing,4549.1
INV000252,SKU0171,PremiumWidgetA,31,2010-12-11,113.68,16898,France,Books,4761.42
INV000253,SKU0151,ProWidgetF,6,2010-12-11,77.99,11588,Australia,Toys,2813.43
INV000254,SKU0462,ClassicWidgetB,11,2010-12-11,97.31,14998,UnitedKingdom,Sports,2213.12
INV000255,SKU0314,PremiumWidgetA,77,2010-12-11,61.3,19662,Belgium,Food,1798.47
INV000256,SKU0373,ClassicWidgetB,12,2010-12-11,79.83,14342,Australia,Sports,1340.97
INV000257,SKU0159,EliteWidgetG,66,2010-12-11,76.34,13362,Belgium,Sports,2873.07
INV000258,SKU0095,StandardWidgetD,53,2010-12-11,106.51,11636,Spain,Toys,641.35
INV000259,SKU0471,PremiumWidgetA,99,2010-12-11,61.79,19664,Belgium,Food,4595.95
INV000260,SKU0232,StandardWidgetD,36,2010-12-11,15.42,16227,UnitedKingdom,Sports,880.62
INV000261,SKU0179,EliteWidgetG,17,2010-12-11,118.41,11244,Germany,HomeGarden,3727.82
INV000262,SKU0112,BudgetWidgetE,28,2010-12-11,102.89,16914,Netherlands,Toys,1535.13
INV000263,SKU0317,BasicWidgetH,92,2010-12-11,142.54,15306,Netherlands,Sports,1131.13
INV000264,SKU0496,StandardWidgetD,22,2010-12-12,64.59,14514,Australia,Books,2789.79
INV000265,SKU0441,EliteWidgetG,7,2010-12-12,12.19,18450,France,HomeGarden,3825.86
INV000266,SKU0051,StandardWidgetD,15,2010-12-12,18.68,12358,Australia,Food,3633.96
INV000267,SKU0267,EliteWidgetG,96,2010-12-12,116.11,15615,France,HomeGarden,1169.55
INV000268,SKU0294,ClassicWidgetB,11,2010-12-12,10.63,11268,Australia,Toys,1653.18
INV000269,SKU0385,EliteWidgetG,24,2010-12-12,136.22,19131,Australia,HomeGarden,4344.29
INV000270,SKU0386,ProWidgetF,67,2010-12-12,42.61,12376,Belgium,Clothing,3616.5
INV000271,SKU0112,BudgetWidgetE,30,2010-12-12,134.88,18387,Netherlands,HomeGarden,3563.76
INV000272,SKU0100,StandardWidgetD,70,2010-12-12,116.14,13096,Spain,Books,1345.26
INV000273,SKU0112,EliteWidgetG,66,2010-12-12,130.74,13635,France,Food,3960.23
INV000274,SKU0439,EliteWidgetG,61,2010-12-12,32.5,10561,Spain,Toys,1792.73
